# time(ps) 	kappa_vv_mean	kappa_vv_upper	kappa_vv_lower
3.240000e-01	2.611744e-15	2.611744e-15	2.611744e-15
3.250000e-01	2.604212e-15	2.604212e-15	2.604212e-15
3.260000e-01	2.596815e-15	2.596815e-15	2.596815e-15
3.270000e-01	2.589561e-15	2.589561e-15	2.589561e-15
3.280000e-01	2.582454e-15	2.582454e-15	2.582454e-15
3.290000e-01	2.575499e-15	2.575499e-15	2.575499e-15
3.300000e-01	2.568702e-15	2.568702e-15	2.568702e-15
3.310000e-01	2.562066e-15	2.562066e-15	2.562066e-15
3.320000e-01	2.555596e-15	2.555596e-15	2.555596e-15
3.330000e-01	2.549295e-15	2.549295e-15	2.549295e-15
3.340000e-01	2.543168e-15	2.543168e-15	2.543168e-15
3.350000e-01	2.537216e-15	2.537216e-15	2.537216e-15
3.360000e-01	2.531443e-15	2.531443e-15	2.531443e-15
3.370000e-01	2.525850e-15	2.525850e-15	2.525850e-15
3.380000e-01	2.520439e-15	2.520439e-15	2.520439e-15
3.390000e-01	2.515212e-15	2.515212e-15	2.515212e-15
3.400000e-01	2.510169e-15	2.510169e-15	2.510169e-15
3.410000e-01	2.505310e-15	2.505310e-15	2.505310e-15
3.420000e-01	2.500635e-15	2.500635e-15	2.500635e-15
3.430000e-01	2.496144e-15	2.496144e-15	2.496144e-15
3.440000e-01	2.491835e-15	2.491835e-15	2.491835e-15
3.450000e-01	2.487706e-15	2.487706e-15	2.487706e-15
3.460000e-01	2.483757e-15	2.483757e-15	2.483757e-15
3.470000e-01	2.479983e-15	2.479983e-15	2.479983e-15
3.480000e-01	2.476384e-15	2.476384e-15	2.476384e-15
3.490000e-01	2.472955e-15	2.472955e-15	2.472955e-15
3.500000e-01	2.469693e-15	2.469693e-15	2.469693e-15
3.510000e-01	2.466595e-15	2.466595e-15	2.466595e-15
3.520000e-01	2.463657e-15	2.463657e-15	2.463657e-15
3.530000e-01	2.460875e-15	2.460875e-15	2.460875e-15
3.540000e-01	2.458244e-15	2.458244e-15	2.458244e-15
3.550000e-01	2.455761e-15	2.455761e-15	2.455761e-15
3.560000e-01	2.453421e-15	2.453421e-15	2.453421e-15
3.570000e-01	2.451220e-15	2.451220e-15	2.451220e-15
3.580000e-01	2.449154e-15	2.449154e-15	2.449154e-15
3.590000e-01	2.447218e-15	2.447218e-15	2.447218e-15
3.600000e-01	2.445408e-15	2.445408e-15	2.445408e-15
3.610000e-01	2.443721e-15	2.443721e-15	2.443721e-15
3.620000e-01	2.442152e-15	2.442152e-15	2.442152e-15
3.630000e-01	2.440699e-15	2.440699e-15	2.440699e-15
3.640000e-01	2.439358e-15	2.439358e-15	2.439358e-15
3.650000e-01	2.438126e-15	2.438126e-15	2.438126e-15
3.660000e-01	2.437001e-15	2.437001e-15	2.437001e-15
3.670000e-01	2.435981e-15	2.435981e-15	2.435981e-15
3.680000e-01	2.435063e-15	2.435063e-15	2.435063e-15
3.690000e-01	2.434246e-15	2.434246e-15	2.434246e-15
3.700000e-01	2.433529e-15	2.433529e-15	2.433529e-15
3.710000e-01	2.432912e-15	2.432912e-15	2.432912e-15
3.720000e-01	2.432393e-15	2.432393e-15	2.432393e-15
3.730000e-01	2.431974e-15	2.431974e-15	2.431974e-15
3.740000e-01	2.431655e-15	2.431655e-15	2.431655e-15
3.750000e-01	2.431435e-15	2.431435e-15	2.431435e-15
3.760000e-01	2.431317e-15	2.431317e-15	2.431317e-15
3.770000e-01	2.431301e-15	2.431301e-15	2.431301e-15
3.780000e-01	2.431390e-15	2.431390e-15	2.431390e-15
3.790000e-01	2.431583e-15	2.431583e-15	2.431583e-15
3.800000e-01	2.431885e-15	2.431885e-15	2.431885e-15
3.810000e-01	2.432295e-15	2.432295e-15	2.432295e-15
3.820000e-01	2.432816e-15	2.432816e-15	2.432816e-15
3.830000e-01	2.433450e-15	2.433450e-15	2.433450e-15
3.840000e-01	2.434198e-15	2.434198e-15	2.434198e-15
3.850000e-01	2.435061e-15	2.435061e-15	2.435061e-15
3.860000e-01	2.436042e-15	2.436042e-15	2.436042e-15
3.870000e-01	2.437141e-15	2.437141e-15	2.437141e-15
3.880000e-01	2.438358e-15	2.438358e-15	2.438358e-15
3.890000e-01	2.439693e-15	2.439693e-15	2.439693e-15
3.900000e-01	2.441148e-15	2.441148e-15	2.441148e-15
3.910000e-01	2.442719e-15	2.442719e-15	2.442719e-15
3.920000e-01	2.444408e-15	2.444408e-15	2.444408e-15
3.930000e-01	2.446211e-15	2.446211e-15	2.446211e-15
3.940000e-01	2.448126e-15	2.448126e-15	2.448126e-15
3.950000e-01	2.450151e-15	2.450151e-15	2.450151e-15
3.960000e-01	2.452282e-15	2.452282e-15	2.452282e-15
3.970000e-01	2.454515e-15	2.454515e-15	2.454515e-15
3.980000e-01	2.456845e-15	2.456845e-15	2.456845e-15
3.990000e-01	2.459267e-15	2.459267e-15	2.459267e-15
4.000000e-01	2.461775e-15	2.461775e-15	2.461775e-15
4.010000e-01	2.464363e-15	2.464363e-15	2.464363e-15
4.020000e-01	2.467025e-15	2.467025e-15	2.467025e-15
4.030000e-01	2.469752e-15	2.469752e-15	2.469752e-15
4.040000e-01	2.472538e-15	2.472538e-15	2.472538e-15
4.050000e-01	2.475375e-15	2.475375e-15	2.475375e-15
4.060000e-01	2.478253e-15	2.478253e-15	2.478253e-15
4.070000e-01	2.481166e-15	2.481166e-15	2.481166e-15
4.080000e-01	2.484103e-15	2.484103e-15	2.484103e-15
4.090000e-01	2.487056e-15	2.487056e-15	2.487056e-15
4.100000e-01	2.490017e-15	2.490017e-15	2.490017e-15
4.110000e-01	2.492976e-15	2.492976e-15	2.492976e-15
4.120000e-01	2.495924e-15	2.495924e-15	2.495924e-15
4.130000e-01	2.498853e-15	2.498853e-15	2.498853e-15
4.140000e-01	2.501755e-15	2.501755e-15	2.501755e-15
4.150000e-01	2.504620e-15	2.504620e-15	2.504620e-15
4.160000e-01	2.507441e-15	2.507441e-15	2.507441e-15
4.170000e-01	2.510210e-15	2.510210e-15	2.510210e-15
4.180000e-01	2.512920e-15	2.512920e-15	2.512920e-15
4.190000e-01	2.515563e-15	2.515563e-15	2.515563e-15
4.200000e-01	2.518134e-15	2.518134e-15	2.518134e-15
4.210000e-01	2.520626e-15	2.520626e-15	2.520626e-15
4.220000e-01	2.523034e-15	2.523034e-15	2.523034e-15
4.230000e-01	2.525353e-15	2.525353e-15	2.525353e-15
4.240000e-01	2.527578e-15	2.527578e-15	2.527578e-15
4.250000e-01	2.529705e-15	2.529705e-15	2.529705e-15
4.260000e-01	2.531732e-15	2.531732e-15	2.531732e-15
4.270000e-01	2.533655e-15	2.533655e-15	2.533655e-15
4.280000e-01	2.535473e-15	2.535473e-15	2.535473e-15
4.290000e-01	2.537182e-15	2.537182e-15	2.537182e-15
4.300000e-01	2.538783e-15	2.538783e-15	2.538783e-15
