# time(ps) 	kappa_vv_mean	kappa_vv_upper	kappa_vv_lower
3.330000e-01	2.554157e-15	2.554157e-15	2.554157e-15
3.340000e-01	2.548044e-15	2.548044e-15	2.548044e-15
3.350000e-01	2.542107e-15	2.542107e-15	2.542107e-15
3.360000e-01	2.536348e-15	2.536348e-15	2.536348e-15
3.370000e-01	2.530770e-15	2.530770e-15	2.530770e-15
3.380000e-01	2.525374e-15	2.525374e-15	2.525374e-15
3.390000e-01	2.520161e-15	2.520161e-15	2.520161e-15
3.400000e-01	2.515133e-15	2.515133e-15	2.515133e-15
3.410000e-01	2.510289e-15	2.510289e-15	2.510289e-15
3.420000e-01	2.505629e-15	2.505629e-15	2.505629e-15
3.430000e-01	2.501152e-15	2.501152e-15	2.501152e-15
3.440000e-01	2.496858e-15	2.496858e-15	2.496858e-15
3.450000e-01	2.492744e-15	2.492744e-15	2.492744e-15
3.460000e-01	2.488809e-15	2.488809e-15	2.488809e-15
3.470000e-01	2.485050e-15	2.485050e-15	2.485050e-15
3.480000e-01	2.481465e-15	2.481465e-15	2.481465e-15
3.490000e-01	2.478051e-15	2.478051e-15	2.478051e-15
3.500000e-01	2.474804e-15	2.474804e-15	2.474804e-15
3.510000e-01	2.471721e-15	2.471721e-15	2.471721e-15
3.520000e-01	2.468798e-15	2.468798e-15	2.468798e-15
3.530000e-01	2.466030e-15	2.466030e-15	2.466030e-15
3.540000e-01	2.463415e-15	2.463415e-15	2.463415e-15
3.550000e-01	2.460947e-15	2.460947e-15	2.460947e-15
3.560000e-01	2.458622e-15	2.458622e-15	2.458622e-15
3.570000e-01	2.456435e-15	2.456435e-15	2.456435e-15
3.580000e-01	2.454384e-15	2.454384e-15	2.454384e-15
3.590000e-01	2.452463e-15	2.452463e-15	2.452463e-15
3.600000e-01	2.450668e-15	2.450668e-15	2.450668e-15
3.610000e-01	2.448996e-15	2.448996e-15	2.448996e-15
3.620000e-01	2.447443e-15	2.447443e-15	2.447443e-15
3.630000e-01	2.446005e-15	2.446005e-15	2.446005e-15
3.640000e-01	2.444679e-15	2.444679e-15	2.444679e-15
3.650000e-01	2.443462e-15	2.443462e-15	2.443462e-15
3.660000e-01	2.442352e-15	2.442352e-15	2.442352e-15
3.670000e-01	2.441346e-15	2.441346e-15	2.441346e-15
3.680000e-01	2.440443e-15	2.440443e-15	2.440443e-15
3.690000e-01	2.439642e-15	2.439642e-15	2.439642e-15
3.700000e-01	2.438940e-15	2.438940e-15	2.438940e-15
3.710000e-01	2.438338e-15	2.438338e-15	2.438338e-15
3.720000e-01	2.437835e-15	2.437835e-15	2.437835e-15
3.730000e-01	2.437431e-15	2.437431e-15	2.437431e-15
3.740000e-01	2.437127e-15	2.437127e-15	2.437127e-15
3.750000e-01	2.436923e-15	2.436923e-15	2.436923e-15
3.760000e-01	2.436820e-15	2.436820e-15	2.436820e-15
3.770000e-01	2.436820e-15	2.436820e-15	2.436820e-15
3.780000e-01	2.436923e-15	2.436923e-15	2.436923e-15
3.790000e-01	2.437133e-15	2.437133e-15	2.437133e-15
3.800000e-01	2.437449e-15	2.437449e-15	2.437449e-15
3.810000e-01	2.437875e-15	2.437875e-15	2.437875e-15
3.820000e-01	2.438412e-15	2.438412e-15	2.438412e-15
3.830000e-01	2.439061e-15	2.439061e-15	2.439061e-15
3.840000e-01	2.439825e-15	2.439825e-15	2.439825e-15
3.850000e-01	2.440704e-15	2.440704e-15	2.440704e-15
3.860000e-01	2.441700e-15	2.441700e-15	2.441700e-15
3.870000e-01	2.442814e-15	2.442814e-15	2.442814e-15
3.880000e-01	2.444047e-15	2.444047e-15	2.444047e-15
3.890000e-01	2.445398e-15	2.445398e-15	2.445398e-15
3.900000e-01	2.446868e-15	2.446868e-15	2.446868e-15
3.910000e-01	2.448456e-15	2.448456e-15	2.448456e-15
3.920000e-01	2.450160e-15	2.450160e-15	2.450160e-15
3.930000e-01	2.451979e-15	2.451979e-15	2.451979e-15
3.940000e-01	2.453910e-15	2.453910e-15	2.453910e-15
3.950000e-01	2.455950e-15	2.455950e-15	2.455950e-15
3.960000e-01	2.458097e-15	2.458097e-15	2.458097e-15
3.970000e-01	2.460345e-15	2.460345e-15	2.460345e-15
3.980000e-01	2.462691e-15	2.462691e-15	2.462691e-15
3.990000e-01	2.465129e-15	2.465129e-15	2.465129e-15
4.000000e-01	2.467653e-15	2.467653e-15	2.467653e-15
4.010000e-01	2.470257e-15	2.470257e-15	2.470257e-15
4.020000e-01	2.472935e-15	2.472935e-15	2.472935e-15
4.030000e-01	2.475678e-15	2.475678e-15	2.475678e-15
4.040000e-01	2.478480e-15	2.478480e-15	2.478480e-15
4.050000e-01	2.481332e-15	2.481332e-15	2.481332e-15
4.060000e-01	2.484227e-15	2.484227e-15	2.484227e-15
4.070000e-01	2.487155e-15	2.487155e-15	2.487155e-15
4.080000e-01	2.490108e-15	2.490108e-15	2.490108e-15
4.090000e-01	2.493077e-15	2.493077e-15	2.493077e-15
4.100000e-01	2.496053e-15	2.496053e-15	2.496053e-15
4.110000e-01	2.499028e-15	2.499028e-15	2.499028e-15
4.120000e-01	2.501992e-15	2.501992e-15	2.501992e-15
4.130000e-01	2.504937e-15	2.504937e-15	2.504937e-15
4.140000e-01	2.507854e-15	2.507854e-15	2.507854e-15
4.150000e-01	2.510735e-15	2.510735e-15	2.510735e-15
4.160000e-01	2.513572e-15	2.513572e-15	2.513572e-15
4.170000e-01	2.516357e-15	2.516357e-15	2.516357e-15
4.180000e-01	2.519083e-15	2.519083e-15	2.519083e-15
4.190000e-01	2.521742e-15	2.521742e-15	2.521742e-15
4.200000e-01	2.524328e-15	2.524328e-15	2.524328e-15
4.210000e-01	2.526836e-15	2.526836e-15	2.526836e-15
4.220000e-01	2.529260e-15	2.529260e-15	2.529260e-15
4.230000e-01	2.531594e-15	2.531594e-15	2.531594e-15
4.240000e-01	2.533835e-15	2.533835e-15	2.533835e-15
4.250000e-01	2.535978e-15	2.535978e-15	2.535978e-15
4.260000e-01	2.538021e-15	2.538021e-15	2.538021e-15
4.270000e-01	2.539960e-15	2.539960e-15	2.539960e-15
4.280000e-01	2.541793e-15	2.541793e-15	2.541793e-15
4.290000e-01	2.543518e-15	2.543518e-15	2.543518e-15
4.300000e-01	2.545135e-15	2.545135e-15	2.545135e-15
